hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
gold	26347394	37.65517241379310348329	.06896551724137931034	.00183150183150183150	4	58	5	2730
ausopen	26347394	3.92241379310344827837	.01724137931034482758	.00439560439560439560	1	58	12	2730
australiaday	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
canadaday	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
genocide	2904241896	3.38429752066115702512	.15000000000000000000	.04432234432234432234	3	20	121	2730
putin	2904241896	19.75657894736842105819	.55000000000000000000	.02783882783882783882	11	20	76	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
genocide	2904241896	3.38429752066115702512	.15000000000000000000	.04432234432234432234	3	20	121	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
buchamrrrrrracre	2904241896	45.50000000000000004550	.05000000000000000000	.00109890109890109890	1	20	3	2730
standwithukraine	2904241896	.85579937304075235114	.10000000000000000000	.11684981684981684981	2	20	319	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
stopputin	2904241896	13.65000000000000001365	.05000000000000000000	.00366300366300366300	1	20	10	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
genocide	2904241896	3.38429752066115702512	.15000000000000000000	.04432234432234432234	3	20	121	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
rape	2904241896	22.75000000000000002275	.05000000000000000000	.00219780219780219780	1	20	6	2730
torture	2904241896	9.10000000000000000910	.05000000000000000000	.00549450549450549450	1	20	15	2730
murder	2904241896	27.30000000000000002730	.05000000000000000000	.00183150183150183150	1	20	5	2730
putinhitler	2904241896	2.86363636363636363649	.45000000000000000000	.15714285714285714285	9	20	429	2730
standwithukraine	2904241896	.85579937304075235114	.10000000000000000000	.11684981684981684981	2	20	319	2730
you	306832085	44.03225806451612906528	.03225806451612903225	.00073260073260073260	1	31	2	2730
putinhitler	306832085	1.23167155425219941349	.19354838709677419354	.15714285714285714285	6	31	429	2730
standwithukraine	306832085	1.10425725553645464662	.12903225806451612903	.11684981684981684981	4	31	319	2730
stopputinnow	306832085	1.63082437275985663098	.12903225806451612903	.07912087912087912087	4	31	216	2730
russiasanctions	306832085	1.66946950007644091130	.12903225806451612903	.07728937728937728937	4	31	211	2730
boycottrussia	306832085	1.70172978027115474530	.12903225806451612903	.07582417582417582417	4	31	207	2730
genocide	306832085	1.45561183684350839776	.06451612903225806451	.04432234432234432234	2	31	121	2730
gaza	306832085	3.52258064516129032522	.03225806451612903225	.00915750915750915750	1	31	25	2730
idlib	306832085	4.19354838709677419669	.03225806451612903225	.00769230769230769230	1	31	21	2730
yemen	306832085	4.40322580645161290652	.03225806451612903225	.00732600732600732600	1	31	20	2730
mariupol	306832085	3.66935483870967742210	.03225806451612903225	.00879120879120879120	1	31	24	2730
putinhitler	306832085	1.23167155425219941349	.19354838709677419354	.15714285714285714285	6	31	429	2730
standwithukraine	306832085	1.10425725553645464662	.12903225806451612903	.11684981684981684981	4	31	319	2730
russiasanctions	306832085	1.66946950007644091130	.12903225806451612903	.07728937728937728937	4	31	211	2730
boycottrussia	306832085	1.70172978027115474530	.12903225806451612903	.07582417582417582417	4	31	207	2730
stopputinnow	306832085	1.63082437275985663098	.12903225806451612903	.07912087912087912087	4	31	216	2730
genocide	306832085	1.45561183684350839776	.06451612903225806451	.04432234432234432234	2	31	121	2730
